,business_id,prob,score,bin,feature_importance
0,939e1e8c-47d5-4600-b379-bf855be187f7,0.5,500,4,"{'ratio_card_amt_total_debit_3m': 0.342, 'credit_utilisation_6m': 0.311, 'ratio_mrdc_freq_90_180': 0.209, 'median_running_balance_6m': 0.161}"
1,c9fe504b-4d00-4948-bf4c-33282cb48fcc,0.229,771,1,"{'credit_utilisation_6m': 0.293, 'median_running_balance_6m': 0.268, 'od_count_6m': 0.156, 'median_amount_credited_6m': 0.129}"
2,fc00613d-0921-4a19-b004-ebfa22246379,0.561,439,4,"{'od_count_6m': 0.809, 'credit_utilisation_6m': 0.702, 'ratio_mrdc_freq_90_180': 0.649, 'ratio_card_amt_total_debit_3m': 0.426}"
3,6efb1fa4-188c-4e18-8699-7cd27bc3fb8b,0.439,561,3,"{'median_running_balance_6m': 0.255, 'ratio_card_amt_total_debit_3m': 0.197, 'ratio_mrdc_freq_90_180': 0.183, 'ratio_card_withdrawal_amt_90_180': 0.163}"
4,478eadd3-4f62-47a6-b374-79f9969237ef,0.102,898,1,"{'distinct_mrdc_txns_100_3m': 0.653, 'ratio_card_amt_total_debit_3m': 0.43, 'ratio_card_withdrawal_amt_90_180': 0.242, 'credit_utilisation_6m': 0.234}"
5,e296c624-f2ec-4552-a04b-127d1cdb66b3,0.303,697,2,"{'ratio_mrdc_freq_90_180': 0.649, 'ratio_card_withdrawal_amt_90_180': 0.245, 'median_running_balance_6m': 0.227, 'ratio_ach_debit_amt_90_180': 0.101}"
6,62612420-d4e0-45f9-ade4-85264646e7f8,0.435,565,3,"{'ratio_mrdc_freq_90_180': 0.392, 'median_running_balance_6m': 0.229, 'ratio_card_withdrawal_amt_90_180': 0.227, 'ratio_card_amt_total_debit_3m': 0.18}"
7,80811c4d-d0a1-4600-8e00-2133c1c8abd1,0.625,375,5,"{'credit_utilisation_6m': 0.748, 'ratio_card_amt_total_debit_3m': 0.408, 'median_running_balance_6m': 0.238, 'od_count_6m': 0.156}"
8,64e03c4b-ab3e-4704-b5e0-53a103f0de69,0.562,438,4,"{'ratio_card_amt_total_debit_3m': 0.38, 'median_running_balance_6m': 0.195, 'od_count_6m': 0.156, 'stddev_amount_ach_c_1m': 0.126}"
9,5a94a661-d8eb-4e36-898a-db1f2f23efbc,0.632,368,5,"{'ratio_card_amt_total_debit_3m': 0.523, 'credit_utilisation_6m': 0.489, 'ratio_mrdc_freq_90_180': 0.204, 'median_running_balance_6m': 0.2}"
10,1d4bc0bf-d29f-45c4-9161-3ee9488dc52b,0.892,108,5,"{'credit_utilisation_6m': 1.024, 'ratio_card_amt_total_debit_3m': 0.557, 'ratio_mrdc_freq_90_180': 0.477, 'median_running_balance_6m': 0.255}"
11,c0c82e1d-9e25-4a01-ba0a-99b8a62c28a0,0.355,645,2,"{'credit_utilisation_6m': 0.243, 'median_running_balance_6m': 0.194, 'ratio_card_amt_total_debit_3m': 0.167, 'od_count_6m': 0.156}"
12,91d19c71-c02a-45f2-8ed4-87057bf7e283,0.036,964,1,"{'median_running_balance_6m': 2.413, 'distinct_pd_txns_1000_1m': 0.343, 'stddev_amount_ach_c_1m': 0.219, 'od_count_6m': 0.156}"
13,14951e15-c645-4500-a046-3142e7e99ea7,0.426,574,3,"{'credit_utilisation_6m': 0.761, 'ratio_card_amt_total_debit_3m': 0.544, 'od_count_6m': 0.156, 'median_running_balance_6m': 0.149}"
14,e1b46f35-2624-4849-9ee7-069824917257,0.477,523,3,"{'od_count_6m': 0.156, 'ach_d_size_6m': 0.119, 'ratio_ach_debit_amt_90_180': 0.115, 'stddev_amount_ach_c_1m': 0.106}"
15,b19b13fd-4860-482c-9588-2b90205decad,0.474,526,3,"{'median_running_balance_6m': 0.251, 'ratio_card_amt_total_debit_3m': 0.187, 'ratio_mrdc_freq_90_180': 0.167, 'od_count_6m': 0.156}"
16,d96579e9-9e29-450e-b082-cb9734cd419c,0.364,636,2,"{'ratio_card_amt_total_debit_3m': 0.337, 'credit_utilisation_6m': 0.205, 'od_count_6m': 0.156, 'median_amount_credited_6m': 0.075}"
17,d3fc4cf0-f0e2-470a-8ec4-61c3f9c41cc2,0.753,247,5,"{'credit_utilisation_6m': 0.824, 'ratio_card_amt_total_debit_3m': 0.312, 'median_running_balance_6m': 0.219, 'od_count_6m': 0.156}"
18,0e66283c-4f7c-4c88-aadf-ba9195cd9614,0.671,329,5,"{'ratio_card_amt_total_debit_3m': 0.353, 'od_count_6m': 0.344, 'median_running_balance_6m': 0.234, 'median_amount_credited_6m': 0.094}"
19,8c0c5bfb-95b0-4e1d-838d-66448a08364b,0.654,346,5,"{'credit_utilisation_6m': 0.94, 'median_running_balance_6m': 0.253, 'ratio_card_withdrawal_amt_90_180': 0.208, 'od_count_6m': 0.156}"
20,f2c73fa0-20c0-4295-a450-99731edf00a5,0.372,628,2,"{'ratio_card_amt_total_debit_3m': 0.414, 'ratio_card_withdrawal_amt_90_180': 0.173, 'credit_utilisation_6m': 0.171, 'od_count_6m': 0.156}"
21,26be705c-f5da-4ffa-8720-9b40dcdcee44,0.017,983,1,"{'median_running_balance_6m': 2.555, 'median_amount_credited_6m': 0.737, 'ratio_mrdc_freq_90_180': 0.638, 'credit_utilisation_6m': 0.504}"
22,f3d2a8fc-e632-43d6-a16d-52d203eda03c,0.548,452,4,"{'ratio_card_amt_total_debit_3m': 0.429, 'ratio_mrdc_freq_90_180': 0.252, 'ratio_card_withdrawal_amt_90_180': 0.245, 'credit_utilisation_6m': 0.232}"
23,ea1fb982-7990-4f67-b7c5-e9b28e505c09,0.691,309,5,"{'credit_utilisation_6m': 0.964, 'ratio_mrdc_freq_90_180': 0.328, 'ach_d_size_6m': 0.245, 'ratio_card_withdrawal_amt_90_180': 0.193}"
24,0757460e-a4ef-40a4-9f64-600ad326295c,0.12,880,1,"{'stddev_amount_ach_c_1m': 1.062, 'credit_utilisation_6m': 0.997, 'ratio_card_amt_total_debit_3m': 0.52, 'ratio_mrdc_freq_90_180': 0.193}"
25,3e48b368-a42f-4358-a0c6-ac86074ece0d,0.373,627,2,"{'distinct_mrdc_txns_100_3m': 0.653, 'ratio_card_amt_total_debit_3m': 0.42, 'median_running_balance_6m': 0.19, 'od_count_6m': 0.156}"
26,114457cb-957e-437f-a7ce-bc8ea43bcf5b,0.522,478,4,"{'credit_utilisation_6m': 0.165, 'od_count_6m': 0.156, 'median_running_balance_6m': 0.152, 'stddev_amount_ach_c_1m': 0.12}"
27,dd576753-0e71-4245-9003-8cd78e12f0c4,0.342,658,2,"{'median_running_balance_6m': 0.155, 'ratio_card_amt_total_debit_3m': 0.145, 'median_amount_credited_6m': 0.108, 'stddev_amount_ach_c_1m': 0.091}"
28,46384841-58aa-446d-9951-fc9f074e2815,0.439,561,3,"{'credit_utilisation_6m': 0.976, 'ratio_card_amt_total_debit_3m': 0.43, 'ratio_mrdc_freq_90_180': 0.256, 'ratio_card_withdrawal_amt_90_180': 0.242}"
29,637cdf0f-7ac5-4ac1-8157-361b29d28264,0.576,424,4,"{'ratio_card_amt_total_debit_3m': 0.289, 'ratio_mrdc_freq_90_180': 0.209, 'od_count_6m': 0.156, 'credit_utilisation_6m': 0.138}"
30,4f4fe5ba-8f9e-47ed-a1b8-2d579ae26177,0.74,260,5,"{'od_count_6m': 0.881, 'ratio_mrdc_freq_90_180': 0.649, 'ratio_card_amt_total_debit_3m': 0.389, 'credit_utilisation_6m': 0.319}"
31,2c83101b-4af5-4b29-a5a7-19f293802eda,0.764,236,5,"{'credit_utilisation_6m': 0.832, 'ratio_card_amt_total_debit_3m': 0.557, 'median_running_balance_6m': 0.182, 'od_count_6m': 0.156}"
32,45ccb2be-9332-4e33-8193-39a62cb3fcac,0.144,856,1,"{'credit_utilisation_6m': 0.786, 'ratio_card_amt_total_debit_3m': 0.389, 'ratio_mrdc_freq_90_180': 0.328, 'ratio_card_withdrawal_amt_90_180': 0.242}"
33,7f157f36-e04b-492b-a97d-bdf535f408de,0.51,490,4,"{'ratio_mrdc_freq_90_180': 0.282, 'credit_utilisation_6m': 0.279, 'median_running_balance_6m': 0.25, 'ratio_card_amt_total_debit_3m': 0.159}"
